,KS Statistic,p-value
donor_ratio,0.2857142857142857,0.5229466492297266
concentration,0.23214285714285715,0.7740048028896678
spinspeed,0.1760204081632653,0.9550521186013914
annealing_t,0.25,0.6897304383582787
sol_add_v_perc,0.1989795918367347,0.8955277716163282
pce,0.28061224489795916,0.5537761652254322
