Threshold,Component 1
9.0,9.40408324
9.170343666666668,9.531504439999999
9.340687333333333,9.681668639999996
9.511031000000001,9.783848279999996
9.681374666666668,9.887076920000002
9.851718333333334,10.0173484
10.022062000000002,10.154725999999993
10.19240566666667,10.301421279999998
10.362749333333335,10.445135800000003
10.533093000000003,10.594591199999995
10.70343666666667,10.744273639999998
10.873780333333336,10.901650680000008
11.044124000000004,11.067811360000006
11.214467666666671,11.229000999999998
11.384811333333339,11.401337319999998
11.555155000000005,11.555155000000005
