Threshold,Component 1
9.0,70134
9.170343666666668,66018
9.340687333333333,60634
9.511031000000001,56014
9.681374666666668,50954
9.851718333333334,44261
10.022062000000002,36976
10.19240566666667,29414
10.362749333333335,22047
10.533093000000003,14971
10.70343666666667,8605
10.873780333333336,3692
11.044124000000004,1174
11.214467666666671,251
11.384811333333339,25
11.555155000000005,1
