Threshold,Component 1
9.0,10.043504663344454
9.170343666666668,10.10313807232876
9.340687333333333,10.178421100504666
9.511031000000001,10.240483621416073
9.681374666666668,10.30419424406327
9.851718333333334,10.385158400420234
10.022062000000002,10.473294227444828
10.19240566666667,10.567413038111104
10.362749333333335,10.664414404953055
10.533093000000003,10.76745958566562
10.70343666666667,10.879525099244628
10.873780333333336,11.011715650595884
11.044124000000004,11.151437577512777
11.214467666666671,11.290330450199205
11.384811333333339,11.447806200000002
11.555155000000005,11.555155000000005
