Threshold,Component 1
9.0,10.629684119999995
9.170343666666668,10.648295239999998
9.340687333333333,10.6711682
9.511031000000001,10.692236160000004
9.681374666666668,10.716353639999998
9.851718333333334,10.748593600000008
10.022062000000002,10.783364999999998
10.19240566666667,10.827411719999997
10.362749333333335,10.88172032
10.533093000000003,10.943581799999999
10.70343666666667,11.022674200000003
10.873780333333336,11.128732840000003
11.044124000000004,11.237874280000002
11.214467666666671,11.356343000000006
11.384811333333339,11.494668120000004
11.555155000000005,11.555155000000005
