round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,channel,pce,jsc,voc,ff,status,filter_trial
1,1,na,A,0.5,8,55,800,0,C,7.56,13.6,0.81,0.655,ACCEPT,ACCEPT
1,1,na,A,0.5,8,55,800,0,F,6.73,11.9,0.82,0.656,ACCEPT,ACCEPT
1,2,na,A,0.5,12,70,1500,0.5,C,13.4,25,0.81,0.628,ACCEPT,ACCEPT
1,2,na,A,0.5,12,70,1500,0.5,B,11.5,23.7,0.8,0.574,ACCEPT,ACCEPT
1,3,na,B,0.5,16,90,2500,1,C,12.8,27,0.79,0.572,ACCEPT,ACCEPT
1,3,na,B,0.5,16,90,2500,1,B,11.8,26.6,0.79,0.534,ACCEPT,ACCEPT
