round,set,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,note,design
1,2,b,0.5,12,70,1500,0.5,20240208,a,12.987,22.816,0.84,0.678,accept,accept,Maybe All 3,static
1,2,b,0.5,12,70,1500,0.5,20240208,b,0.008,0.022,0.919,0.411,reject,accept,Maybe All 3,static
1,2,b,0.5,12,70,1500,0.5,20240208,c,0.045,0.105,0.836,0.517,reject,accept,Maybe All 3,static
1,2,b,0.5,12,70,1500,0.5,20240208,d,11.196,21.295,0.84,0.626,accept,accept,Maybe All 3,static
1,2,b,0.5,12,70,1500,0.5,20240208,e,12.321,21.796,0.83,0.681,accept,accept,Maybe All 3,static
1,2,b,0.5,12,70,1500,0.5,20240208,f,12.944,21.964,0.83,0.71,accept,accept,Maybe All 3,static
1,2,c,0.5,12,70,1500,0.5,20240307,a,6.829,16.374,0.86,0.48,accept,reject,Maybe All 3,static
1,2,c,0.5,12,70,1500,0.5,20240307,b,8.879,17.778,0.85,0.582,accept,reject,Maybe All 3,static
1,2,c,0.5,12,70,1500,0.5,20240307,c,9.865,18.516,0.86,0.613,accept,reject,Maybe All 3,static
1,2,c,0.5,12,70,1500,0.5,20240307,d,0.04,0.047,0.923,0.912,reject,reject,Maybe All 3,static
1,2,c,0.5,12,70,1500,0.5,20240307,e,7.638,17.147,0.85,0.519,accept,reject,Maybe All 3,static
1,2,c,0.5,12,70,1500,0.5,20240307,f,9.129,17.93,0.85,0.593,accept,reject,Maybe All 3,static
1,3,a,0.5,16,90,2500,1,20240202,a,0.144,1.717,0.85,0.099,accept,reject,,static
1,3,a,0.5,16,90,2500,1,20240202,b,0.162,1.982,0.81,0.101,accept,reject,,static
1,3,a,0.5,16,90,2500,1,20240202,c,0.175,2.098,0.81,0.103,accept,reject,,static
1,3,a,0.5,16,90,2500,1,20240202,d,0.187,2.267,0.81,0.102,accept,reject,,static
1,3,a,0.5,16,90,2500,1,20240202,f,0.215,2.479,0.81,0.107,accept,reject,,static
1,3,b,0.5,16,90,2500,1,20240208,a,3.306,15.606,0.86,0.246,reject,reject,,static
1,3,b,0.5,16,90,2500,1,20240208,b,7.07,17.854,0.86,0.46,accept,accept,,static
1,3,b,0.5,16,90,2500,1,20240208,c,5.523,17.409,0.73,0.435,reject,accept,,static
1,3,b,0.5,16,90,2500,1,20240208,d,7.178,16.539,0.86,0.505,accept,accept,,static
1,3,b,0.5,16,90,2500,1,20240208,e,6.479,16.334,0.85,0.467,accept,accept,,static
1,3,b,0.5,16,90,2500,1,20240208,f,5.917,16.114,0.85,0.432,accept,accept,,static
1,3,c,0.5,16,90,2500,1,20240307,a,12.106,21.269,0.84,0.671,accept,reject,,static
1,3,c,0.5,16,90,2500,1,20240307,b,12.001,20.711,0.83,0.691,accept,reject,,static
1,3,c,0.5,16,90,2500,1,20240307,c,13.025,21.62,0.83,0.719,accept,reject,,static
1,3,c,0.5,16,90,2500,1,20240307,d,0.001,0.001,0.78,0.47,reject,reject,,static
1,3,c,0.5,16,90,2500,1,20240307,e,-0.003,21.118,0.99,0,reject,reject,,static
1,3,c,0.5,16,90,2500,1,20240307,f,0.005,0.013,0.94,0.398,reject,reject,,static
1,3,d,0.5,16,90,2500,1,20240328,a,0.599,1.968,0.75,0.402,reject,accept,,static
1,3,d,0.5,16,90,2500,1,20240328,b,1.742,4.909,0.75,0.468,reject,accept,,static
1,3,d,0.5,16,90,2500,1,20240328,c,6.367,13.636,0.72,0.642,accept,accept,,static
1,3,d,0.5,16,90,2500,1,20240328,d,4.069,9.338,0.73,0.591,accept,accept,,static
1,3,d,0.5,16,90,2500,1,20240328,e,1.555,4.968,0.68,0.456,reject,accept,,static
1,3,d,0.5,16,90,2500,1,20240328,f,3.813,8.509,0.72,0.616,accept,accept,,static
1,4,a,0.5,20,110,4500,2,20240125,a,8.361,16.724,0.75,0.667,accept,accept,,static
1,4,a,0.5,20,110,4500,2,20240125,b,8.632,16.629,0.75,0.692,accept,accept,,static
1,4,a,0.5,20,110,4500,2,20240125,c,8.936,16.663,0.75,0.715,accept,accept,,static
1,4,a,0.5,20,110,4500,2,20240125,d,0.005,0.015,0.87,0.427,reject,accept,,static
1,4,a,0.5,20,110,4500,2,20240125,e,6.271,18.574,0.6,0.563,reject,accept,,static
1,4,a,0.5,20,110,4500,2,20240125,f,9.862,18.926,0.75,0.695,accept,accept,,static
1,4,b,0.5,20,110,4500,2,20240208,a,0.999,7.975,0.84,0.149,accept,reject,,static
1,4,b,0.5,20,110,4500,2,20240208,b,1.012,9.435,0.83,0.129,accept,reject,,static
1,4,b,0.5,20,110,4500,2,20240208,c,0.047,0.065,0.825,0.887,accept,reject,,static
1,4,b,0.5,20,110,4500,2,20240208,d,0.518,6.078,0.81,0.105,reject,reject,,static
1,4,b,0.5,20,110,4500,2,20240208,e,0.981,9.03,0.83,0.131,accept,reject,,static
1,4,b,0.5,20,110,4500,2,20240208,f,0.792,7.536,0.84,0.125,accept,reject,,static
1,4,c,0.5,20,110,4500,2,20240315,a,9.665,21.537,0.83,0.535,accept,accept,,static
1,4,c,0.5,20,110,4500,2,20240315,b,10.819,21.539,0.84,0.592,accept,accept,,static
1,4,c,0.5,20,110,4500,2,20240315,c,11.172,21.627,0.84,0.609,accept,accept,,static
1,4,c,0.5,20,110,4500,2,20240315,d,3.606,17.466,0.5,0.409,reject,accept,,static
1,4,c,0.5,20,110,4500,2,20240315,e,9.008,19.253,0.82,0.565,reject,accept,,static
1,4,c,0.5,20,110,4500,2,20240315,f,9.091,18.625,0.83,0.582,accept,accept,,static
1,5,a,0.5,22,130,6000,5,20240125,a,8.727,20.758,0.71,0.592,accept,accept,,static
1,5,a,0.5,22,130,6000,5,20240125,b,10.977,22.096,0.75,0.662,accept,accept,,static
1,5,a,0.5,22,130,6000,5,20240125,c,11.431,22.365,0.74,0.691,accept,accept,,static
1,5,a,0.5,22,130,6000,5,20240125,d,0.002,0.005,0.736,0.575,reject,accept,,static
1,5,a,0.5,22,130,6000,5,20240125,e,10.263,20.433,0.74,0.679,accept,accept,,static
1,5,a,0.5,22,130,6000,5,20240125,f,10.693,20.467,0.74,0.706,accept,accept,,static
1,5,b,0.5,22,130,6000,5,20240216,a,8.28,21.705,0.76,0.497,accept,accept,,static
1,5,b,0.5,22,130,6000,5,20240216,b,11.177,23.831,0.76,0.611,accept,accept,,static
1,5,b,0.5,22,130,6000,5,20240216,c,11.694,23.845,0.76,0.639,accept,accept,,static
1,5,b,0.5,22,130,6000,5,20240216,d,9.123,19.758,0.76,0.602,accept,accept,,static
1,5,b,0.5,22,130,6000,5,20240216,e,9.705,20.086,0.76,0.629,accept,accept,,static
1,5,b,0.5,22,130,6000,5,20240216,f,9.623,19.668,0.75,0.646,accept,accept,,static
1,5,c,0.5,22,130,6000,5,20240313,a,7.672,18.155,0.73,0.573,accept,reject,,static
1,5,c,0.5,22,130,6000,5,20240313,b,7.849,17.904,0.73,0.595,accept,reject,,static
1,5,c,0.5,22,130,6000,5,20240313,c,0.002,0.007,0.893,0.355,reject,reject,,static
1,5,c,0.5,22,130,6000,5,20240313,d,7.59,18.425,0.72,0.566,accept,reject,,static
1,5,c,0.5,22,130,6000,5,20240313,e,8.062,19.165,0.72,0.578,accept,reject,,static
1,5,c,0.5,22,130,6000,5,20240313,f,-0.001,0.055,0.91,0.01,reject,reject,,static
1,6,a,0.8,8,70,2500,2,20240125,a,0.808,4.82,0.86,0.195,accept,reject,,static
1,6,a,0.8,8,70,2500,2,20240125,b,0.816,4.727,0.86,0.201,accept,reject,,static
1,6,a,0.8,8,70,2500,2,20240125,c,1.342,5.286,0.86,0.295,accept,reject,,static
1,6,a,0.8,8,70,2500,2,20240125,d,0.607,3.565,0.8,0.213,accept,reject,,static
1,6,a,0.8,8,70,2500,2,20240125,e,0.808,5.154,0.85,0.184,accept,reject,,static
1,6,a,0.8,8,70,2500,2,20240125,f,1.352,5.775,0.86,0.272,accept,reject,,static
1,6,b,0.8,8,70,2500,2,20240216,a,4.222,9.013,0.77,0.602,accept,accept,,static
1,6,b,0.8,8,70,2500,2,20240216,b,4.406,9.365,0.77,0.605,accept,accept,,static
1,6,b,0.8,8,70,2500,2,20240216,c,4.35,8.863,0.77,0.631,accept,accept,,static
1,6,b,0.8,8,70,2500,2,20240216,d,3.988,8.217,0.76,0.632,accept,accept,,static
1,6,b,0.8,8,70,2500,2,20240216,e,4.182,9.398,0.77,0.572,accept,accept,,static
1,6,b,0.8,8,70,2500,2,20240216,f,4.619,9.656,0.76,0.623,accept,accept,,static
1,6,c,0.8,8,70,2500,2,20240313,a,6.371,12.649,0.75,0.665,accept,reject,,static
1,6,c,0.8,8,70,2500,2,20240313,b,7.318,14.23,0.75,0.679,accept,reject,,static
1,6,c,0.8,8,70,2500,2,20240313,c,7.787,14.887,0.74,0.7,accept,reject,,static
1,6,c,0.8,8,70,2500,2,20240313,d,7.108,14.058,0.75,0.667,accept,reject,,static
1,6,c,0.8,8,70,2500,2,20240313,e,7.491,14.561,0.74,0.688,accept,reject,,static
1,6,c,0.8,8,70,2500,2,20240313,f,7.504,14.247,0.74,0.705,accept,reject,,static
1,6,d,0.8,8,70,2500,2,20240328,a,5.303,10.343,0.74,0.686,accept,accept,,static
1,6,d,0.8,8,70,2500,2,20240328,b,5.093,10.203,0.74,0.668,accept,accept,,static
1,6,d,0.8,8,70,2500,2,20240328,c,5.101,9.811,0.74,0.696,accept,accept,,static
1,6,d,0.8,8,70,2500,2,20240328,d,3.761,7.856,0.73,0.649,accept,accept,,static
1,6,d,0.8,8,70,2500,2,20240328,e,4.615,8.953,0.73,0.699,accept,accept,,static
1,6,d,0.8,8,70,2500,2,20240328,f,4.477,8.875,0.74,0.675,accept,accept,,static
1,7,a,0.8,12,90,4500,5,20240125,a,2.577,6.668,0.86,0.449,accept,accept,,static
1,7,a,0.8,12,90,4500,5,20240125,b,1.429,5.676,0.85,0.296,accept,accept,,static
1,7,a,0.8,12,90,4500,5,20240125,c,2.286,6.274,0.85,0.429,accept,accept,,static
1,7,a,0.8,12,90,4500,5,20240125,d,1.636,5.256,0.84,0.371,accept,accept,,static
1,7,a,0.8,12,90,4500,5,20240125,e,2.804,7.085,0.85,0.466,accept,accept,,static
1,7,a,0.8,12,90,4500,5,20240125,f,2.828,7.109,0.85,0.468,accept,accept,,static
1,7,b,0.8,12,90,4500,5,20240216,a,1.879,4.728,0.83,0.474,reject,reject,,static
1,7,b,0.8,12,90,4500,5,20240216,b,8.249,15.869,0.77,0.668,accept,reject,,static
1,7,b,0.8,12,90,4500,5,20240216,c,8.247,15.665,0.77,0.677,accept,reject,,static
1,7,b,0.8,12,90,4500,5,20240216,d,8.903,17.282,0.77,0.662,accept,reject,,static
1,7,b,0.8,12,90,4500,5,20240216,e,8.787,17.001,0.77,0.665,accept,reject,,static
1,7,b,0.8,12,90,4500,5,20240216,f,0.012,0.029,0.909,0.468,reject,reject,,static
1,7,c,0.8,12,90,4500,5,20240313,a,0.021,0.185,0.81,0.141,reject,accept,,static
1,7,c,0.8,12,90,4500,5,20240313,b,0.107,0.414,0.85,0.3,reject,accept,,static
1,7,c,0.8,12,90,4500,5,20240313,c,1.212,2.608,0.77,0.597,accept,accept,*,static
1,7,c,0.8,12,90,4500,5,20240313,d,3.184,6.362,0.76,0.652,accept,accept,*,static
1,7,c,0.8,12,90,4500,5,20240313,e,0.014,0.099,0.78,0.173,reject,accept,,static
1,7,c,0.8,12,90,4500,5,20240313,f,0.29,1.068,0.85,0.317,reject,accept,,static
1,8,a,0.8,16,110,6000,0,20240125,a,10.842,20.104,0.83,0.65,accept,accept,,static
1,8,a,0.8,16,110,6000,0,20240125,b,11.347,20.808,0.83,0.657,accept,accept,,static
1,8,a,0.8,16,110,6000,0,20240125,c,0,0.001,0.83,0.826,reject,accept,,static
1,8,a,0.8,16,110,6000,0,20240125,d,11.982,22.539,0.83,0.641,accept,accept,,static
1,8,a,0.8,16,110,6000,0,20240125,e,10.049,22.062,0.75,0.607,accept,accept,,static
1,8,a,0.8,16,110,6000,0,20240125,f,10.83,22.311,0.75,0.647,accept,accept,,static
1,8,b,0.8,16,110,6000,0,20240216,a,7.826,20.668,0.73,0.514,reject,accept,,static
1,8,b,0.8,16,110,6000,0,20240216,b,10.392,21.445,0.83,0.578,accept,accept,,static
1,8,b,0.8,16,110,6000,0,20240216,c,10.475,21.27,0.82,0.595,accept,accept,,static
1,8,b,0.8,16,110,6000,0,20240216,d,9.729,21.571,0.83,0.538,accept,accept,,static
1,8,b,0.8,16,110,6000,0,20240216,e,10.004,22.159,0.82,0.545,accept,accept,,static
1,8,b,0.8,16,110,6000,0,20240216,f,10.5,21.834,0.82,0.581,accept,accept,,static
1,8,c,0.8,16,110,6000,0,20240313,a,10.327,23.276,0.83,0.529,accept,accept,,static
1,8,c,0.8,16,110,6000,0,20240313,b,13.096,25.021,0.83,0.624,accept,accept,,static
1,8,c,0.8,16,110,6000,0,20240313,c,13.442,25.01,0.83,0.641,accept,accept,,static
1,8,c,0.8,16,110,6000,0,20240313,d,11.389,21.731,0.83,0.625,accept,accept,,static
1,8,c,0.8,16,110,6000,0,20240313,e,11.397,21.373,0.83,0.636,accept,accept,,static
1,8,c,0.8,16,110,6000,0,20240313,f,11.374,21.19,0.83,0.64,accept,accept,,static
1,9,a,0.8,20,130,800,0.5,20240202,a,10.944,24.828,0.8,0.551,accept,accept,,static
1,9,a,0.8,20,130,800,0.5,20240202,b,10.951,24.546,0.8,0.558,accept,accept,,static
1,9,a,0.8,20,130,800,0.5,20240202,c,11.463,24.585,0.8,0.583,accept,accept,,static
1,9,a,0.8,20,130,800,0.5,20240202,d,10.189,24.853,0.79,0.519,accept,accept,,static
1,9,a,0.8,20,130,800,0.5,20240202,e,0.22,0.581,0.8,0.474,reject,accept,,static
1,9,a,0.8,20,130,800,0.5,20240202,f,11.136,25.297,0.79,0.557,accept,accept,,static
1,9,b,0.8,20,130,800,0.5,20240216,a,9.175,21.499,0.8,0.528,accept,accept,,static
1,9,b,0.8,20,130,800,0.5,20240216,b,10,23.042,0.8,0.537,accept,accept,,static
1,9,b,0.8,20,130,800,0.5,20240216,c,0.036,0.104,0.93,0.363,reject,accept,,static
1,9,b,0.8,20,130,800,0.5,20240216,d,0.009,0.037,0.94,0.256,reject,accept,,static
1,9,b,0.8,20,130,800,0.5,20240216,e,4.096,19.5,0.53,0.392,reject,accept,,static
1,9,b,0.8,20,130,800,0.5,20240216,f,5.073,20.52,0.89,0.275,reject,accept,,static
1,9,c,0.8,20,130,800,0.5,20240313,a,0.004,0.058,0.66,0.109,reject,reject,,static
1,9,c,0.8,20,130,800,0.5,20240313,b,3.74,10.284,0.82,0.439,accept,reject,*,static
1,9,c,0.8,20,130,800,0.5,20240313,c,1.284,4.189,0.82,0.37,reject,reject,,static
1,9,c,0.8,20,130,800,0.5,20240313,d,4.03,13.03,0.82,0.373,accept,reject,*,static
1,9,c,0.8,20,130,800,0.5,20240313,e,0.647,2.51,0.81,0.315,reject,reject,,static
1,9,c,0.8,20,130,800,0.5,20240313,f,0.89,3.755,0.82,0.286,reject,reject,,static
1,10,a,0.8,22,55,1500,1,20240202,a,0.142,1.357,0.87,0.12,accept,reject,All 3 differ,static
1,10,a,0.8,22,55,1500,1,20240202,b,0.147,1.422,0.85,0.121,accept,reject,All 3 differ,static
1,10,a,0.8,22,55,1500,1,20240202,c,0.159,1.526,0.83,0.125,accept,reject,All 3 differ,static
1,10,a,0.8,22,55,1500,1,20240202,d,0.125,1.215,0.86,0.12,accept,reject,All 3 differ,static
1,10,a,0.8,22,55,1500,1,20240202,e,0.146,1.385,0.84,0.125,accept,reject,All 3 differ,static
1,10,a,0.8,22,55,1500,1,20240202,f,0.163,1.56,0.87,0.12,accept,reject,All 3 differ,static
1,10,b,0.8,22,55,1500,1,20240216,a,11.338,22.186,0.83,0.61,accept,accept,All 3 differ,static
1,10,b,0.8,22,55,1500,1,20240216,b,11.873,22.624,0.83,0.626,accept,accept,All 3 differ,static
1,10,b,0.8,22,55,1500,1,20240216,c,12.336,22.215,0.83,0.662,accept,accept,All 3 differ,static
1,10,b,0.8,22,55,1500,1,20240216,d,10.355,23.336,0.83,0.529,accept,accept,All 3 differ,static
1,10,b,0.8,22,55,1500,1,20240216,e,12.617,24.675,0.83,0.61,accept,accept,All 3 differ,static
1,10,b,0.8,22,55,1500,1,20240216,f,13.419,25.077,0.83,0.638,accept,accept,All 3 differ,static
1,10,c,0.8,22,55,1500,1,20240328,a,4.521,15.853,0.87,0.325,accept,reject,All 3 differ,static
1,10,c,0.8,22,55,1500,1,20240328,b,4.687,15.147,0.87,0.352,accept,reject,All 3 differ,static
1,10,c,0.8,22,55,1500,1,20240328,c,4.924,15.714,0.87,0.357,accept,reject,All 3 differ,static
1,10,c,0.8,22,55,1500,1,20240328,d,4.209,13.571,0.87,0.353,accept,reject,All 3 differ,static
1,10,c,0.8,22,55,1500,1,20240328,e,4.576,14.726,0.86,0.358,accept,reject,All 3 differ,static
1,10,c,0.8,22,55,1500,1,20240328,f,3.951,13.966,0.86,0.326,accept,reject,All 3 differ,static
1,11,a,1,8,90,6000,0.5,20240202,a,5.197,15.667,0.72,0.461,accept,accept,"Rejected for Spread, could keep",static
