round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,distance,distance_log,design
1,25,na,C,1.5,22,110,2500,0.5,20220215,E,1.81,3.14,0.81,0.695,REJECT,ACCEPT,,,sdoe
1,11,na,C,1,8,90,6000,0.5,20220126,A,1.72,2.55,0.83,0.778,REJECT,ACCEPT,,,sdoe
1,3,na,C,0.5,16,90,2500,1,20220119,F,1.59,18.5,0.22,0.371,REJECT,ACCEPT,,,sdoe
1,2,na,A,0.5,12,70,1500,0.5,20210914,E,1.54,2.55,0.79,0.727,REJECT,ACCEPT,,,sdoe
1,21,na,A,1.5,8,130,4500,1,20210928,D,1.45,2.4,0.84,0.689,REJECT,REJECT,,,sdoe
1,25,na,D,1.5,22,110,2500,0.5,20220517,F,1.45,2.27,0.81,0.751,REJECT,REJECT,,,sdoe
1,19,na,C,1.2,20,70,6000,1,20220208,D,1.42,17.9,0.26,0.289,REJECT,ACCEPT,,,sdoe
1,5,na,D,0.5,22,130,6000,5,20220222,F,1.36,2.55,0.72,0.728,REJECT,REJECT,,,sdoe
1,16,na,A,1.2,8,110,1500,5,20210915,F,1.33,2.26,0.76,0.737,REJECT,ACCEPT,,,sdoe
1,17,na,D,1.2,12,130,2500,0,20220517,A,1.29,2.06,0.78,0.763,REJECT,ACCEPT,,,sdoe
1,14,na,A,1,20,55,2500,5,20210915,D,1.28,2.18,0.82,0.682,REJECT,REJECT,,,sdoe
1,10,na,A,0.8,22,55,1500,1,20210915,A,1.22,17.8,0.22,0.296,REJECT,ACCEPT,,,sdoe
1,8,na,B,0.8,16,110,6000,0,20211005,A,1.22,2.07,0.81,0.692,REJECT,ACCEPT,,,sdoe
1,15,na,C,1,22,70,4500,0,20220208,B,1.18,1.74,0.82,0.784,REJECT,ACCEPT,,,sdoe
1,3,na,D,0.5,16,90,2500,1,20220215,D,1.12,2.13,0.8,0.643,REJECT,ACCEPT,,,sdoe
1,19,na,A,1.2,20,70,6000,1,20210928,A,1.09,1.86,0.81,0.695,REJECT,ACCEPT,,,sdoe
1,15,na,B,1,22,70,4500,0,20211006,D,1.05,16,0.22,0.285,REJECT,ACCEPT,,,sdoe
1,2,na,C,0.5,12,70,1500,0.5,20220119,D,1.04,18.3,0.19,0.285,REJECT,ACCEPT,,,sdoe
1,25,na,C,1.5,22,110,2500,0.5,20220215,D,0.975,1.95,0.81,0.603,REJECT,ACCEPT,,,sdoe
1,20,na,C,1.2,22,90,800,2,20220208,F,0.946,1.21,1,0.739,REJECT,ACCEPT,,,sdoe
1,5,na,D,0.5,22,130,6000,5,20220222,E,0.928,1.81,0.71,0.709,REJECT,REJECT,,,sdoe
1,3,na,D,0.5,16,90,2500,1,20220215,F,0.923,1.71,0.8,0.659,REJECT,ACCEPT,,,sdoe
1,3,na,D,0.5,16,90,2500,1,20220215,E,0.911,1.74,0.79,0.645,REJECT,ACCEPT,,,sdoe
1,10,na,D,0.8,22,55,1500,1,20220222,D,0.906,1.49,0.77,0.771,REJECT,REJECT,,,sdoe
1,13,na,D,1,16,130,1500,2,20220308,E,0.904,1.59,0.77,0.706,REJECT,REJECT,,,sdoe
1,2,na,D,0.5,12,70,1500,0.5,20220215,F,0.897,18.6,0.15,0.314,REJECT,ACCEPT,,,sdoe
1,20,na,C,1.2,22,90,800,2,20220208,D,0.887,1.58,0.75,0.714,REJECT,ACCEPT,,,sdoe
1,25,na,D,1.5,22,110,2500,0.5,20220517,D,0.886,1.48,0.81,0.702,REJECT,REJECT,,,sdoe
1,1,na,A,0.5,8,55,800,0,20210914,E,0.885,14.4,0.15,0.389,REJECT,ACCEPT,,,sdoe
1,8,na,A,0.8,16,110,6000,0,20210914,E,0.825,1.63,0.81,0.595,REJECT,ACCEPT,,,sdoe
1,7,na,C,0.8,12,90,4500,5,20220119,D,0.825,1.41,0.74,0.754,REJECT,ACCEPT,,,sdoe
1,24,na,D,1.5,20,90,1500,0,20220517,D,0.824,15,0.2,0.261,REJECT,REJECT,,,sdoe
1,13,na,B,1,16,130,1500,2,20211005,E,0.81,1.91,0.52,0.776,REJECT,ACCEPT,,,sdoe
1,7,na,C,0.8,12,90,4500,5,20220119,E,0.799,1.46,0.74,0.702,REJECT,ACCEPT,,,sdoe
1,10,na,B,0.8,22,55,1500,1,20211005,D,0.791,1.58,0.78,0.61,REJECT,REJECT,,,sdoe
1,14,na,D,1,20,55,2500,5,20220308,D,0.761,1.71,0.21,2.03,REJECT,REJECT,,,sdoe
1,7,na,B,0.8,12,90,4500,5,20211005,D,0.751,14.6,0.17,0.288,REJECT,REJECT,,,sdoe
1,7,na,A,0.8,12,90,4500,5,20210914,D,0.729,1.34,0.76,0.68,REJECT,ACCEPT,,,sdoe
1,16,na,B,1.2,8,110,1500,5,20211006,E,0.702,1.27,0.76,0.698,REJECT,ACCEPT,,,sdoe
1,13,na,D,1,16,130,1500,2,20220308,D,0.655,1.1,0.77,0.739,REJECT,REJECT,,,sdoe
1,5,na,A,0.5,22,130,6000,5,20210914,D,0.62,14,0.16,0.263,REJECT,ACCEPT,,,sdoe
1,8,na,A,0.8,16,110,6000,0,20210914,D,0.608,1.2,0.79,0.612,REJECT,ACCEPT,,,sdoe
1,10,na,D,0.8,22,55,1500,1,20220222,F,0.582,0.952,0.78,0.768,REJECT,REJECT,,,sdoe
1,13,na,D,1,16,130,1500,2,20220308,B,0.579,0.91,0.78,0.782,REJECT,REJECT,,,sdoe
1,2,na,B,0.5,12,70,1500,0.5,20210929,C,0.574,17.9,0.09,0.337,REJECT,ACCEPT,,,sdoe
1,1,na,D,0.5,8,55,800,0,20220215,C,0.564,21.8,0.08,0.314,REJECT,REJECT,,,sdoe
1,8,na,A,0.8,16,110,6000,0,20210914,F,0.536,0.798,0.82,0.78,REJECT,ACCEPT,,,sdoe
1,10,na,B,0.8,22,55,1500,1,20211005,E,0.533,1.05,0.76,0.636,REJECT,REJECT,,,sdoe
1,8,na,D,0.8,16,110,6000,0,20220222,A,0.53,0.995,0.82,0.637,REJECT,ACCEPT,,,sdoe
1,9,na,D,0.8,20,130,800,0.5,20220222,C,0.517,13.8,0.14,0.261,REJECT,ACCEPT,,,sdoe
1,4,na,D,0.5,20,110,4500,2,20220222,C,0.512,16.3,0.11,0.279,REJECT,ACCEPT,,,sdoe
1,14,na,A,1,20,55,2500,5,20210915,E,0.508,0.972,0.83,0.599,REJECT,REJECT,,,sdoe
1,16,na,C,1.2,8,110,1500,5,20220208,B,0.507,10.2,0.13,0.363,REJECT,REJECT,,,sdoe
1,21,na,B,1.5,8,130,4500,1,20211006,E,0.506,1.18,0.57,0.718,REJECT,ACCEPT,,,sdoe
1,14,na,B,1,20,55,2500,5,20211006,C,0.486,17.6,0.1,0.265,REJECT,ACCEPT,,,sdoe
1,7,na,A,0.8,12,90,4500,5,20210914,C,0.48,13.8,0.1,0.331,REJECT,ACCEPT,,,sdoe
1,7,na,C,0.8,12,90,4500,5,20220119,F,0.469,0.754,0.74,0.8,REJECT,ACCEPT,,,sdoe
1,13,na,D,1,16,130,1500,2,20220308,F,0.447,0.878,0.77,0.634,REJECT,REJECT,,,sdoe
1,19,na,A,1.2,20,70,6000,1,20210928,E,0.434,0.781,0.8,0.666,REJECT,ACCEPT,,,sdoe
1,12,na,C,1,12,110,800,1,20220126,E,0.42,10.7,0.14,0.269,REJECT,ACCEPT,,,sdoe
1,9,na,D,0.8,20,130,800,0.5,20220222,B,0.384,11.7,0.13,0.247,REJECT,ACCEPT,,,sdoe
1,1,na,B,0.5,8,55,800,0,20210929,E,0.383,0.775,0.82,0.572,REJECT,ACCEPT,,,sdoe
1,10,na,D,0.8,22,55,1500,1,20220222,E,0.328,0.793,0.62,0.652,REJECT,REJECT,,,sdoe
1,6,na,D,0.8,8,70,2500,2,20220222,F,0.322,0.64,0.8,0.615,REJECT,REJECT,,,sdoe
1,6,na,D,0.8,8,70,2500,2,20220222,A,0.316,0.537,0.81,0.712,REJECT,REJECT,,,sdoe
1,13,na,B,1,16,130,1500,2,20211005,F,0.314,0.556,0.75,0.716,REJECT,ACCEPT,,,sdoe
1,7,na,B,0.8,12,90,4500,5,20211005,B,0.301,13.4,0.09,0.237,REJECT,REJECT,,,sdoe
1,1,na,B,0.5,8,55,800,0,20210929,D,0.297,0.584,0.82,0.59,REJECT,ACCEPT,,,sdoe
1,13,na,D,1,16,130,1500,2,20220308,C,0.294,9.79,0.11,0.262,REJECT,REJECT,,,sdoe
1,6,na,D,0.8,8,70,2500,2,20220222,C,0.293,7.98,0.09,0.398,REJECT,REJECT,,,sdoe
1,21,na,B,1.5,8,130,4500,1,20211006,B,0.286,10.8,0.09,0.282,REJECT,ACCEPT,,,sdoe
1,24,na,C,1.5,20,90,1500,0,20220215,D,0.27,2.18,0.21,0.574,REJECT,REJECT,,,sdoe
2,41,na,A,0.344,21,92.8,2290,3.44,20240709,b,0.269,0.605,0.819,0.53,reject,accept,,,sobol32
1,7,na,B,0.8,12,90,4500,5,20211005,A,0.262,0.431,0.78,0.74,REJECT,REJECT,,,sdoe
1,20,na,D,1.2,22,90,800,2,20220517,F,0.247,0.359,0.76,0.859,REJECT,REJECT,,,sdoe
1,1,na,A,0.5,8,55,800,0,20210914,B,0.241,11.1,0.08,0.258,REJECT,ACCEPT,,,sdoe
1,20,na,D,1.2,22,90,800,2,20220517,E,0.236,0.431,0.75,0.696,REJECT,REJECT,,,sdoe
1,23,na,A,1.5,16,70,800,5,20210928,D,0.195,0.314,0.77,0.771,REJECT,REJECT,,,sdoe
1,21,na,D,1.5,8,130,4500,1,20220517,B,0.184,9.11,0.07,0.273,REJECT,ACCEPT,,,sdoe
1,20,na,D,1.2,22,90,800,2,20220517,D,0.173,0.316,0.75,0.694,REJECT,REJECT,,,sdoe
1,5,na,D,0.5,22,130,6000,5,20220222,D,0.143,1.08,0.32,0.406,REJECT,REJECT,,,sdoe
1,15,na,A,1,22,70,4500,0,20210915,D,0.131,1.16,0.15,0.711,REJECT,ACCEPT,,,sdoe
1,23,na,A,1.5,16,70,800,5,20210928,A,0.121,4.98,0.09,0.259,REJECT,REJECT,,,sdoe
2,41,na,A,0.344,21,92.8,2290,3.44,20240709,e,0.12,0.282,0.755,0.551,reject,accept,,,sobol32
2,41,na,A,0.344,21,92.8,2290,3.44,20240709,d,0.115,0.28,0.786,0.512,reject,accept,,,sobol32
1,21,na,A,1.5,8,130,4500,1,20210928,E,0.102,0.176,0.85,0.653,REJECT,REJECT,,,sdoe
1,7,na,A,0.8,12,90,4500,5,20210914,A,0.0774,0.178,0.72,0.574,REJECT,ACCEPT,,,sdoe
1,15,na,B,1,22,70,4500,0,20211006,B,0.0696,0.0959,0.83,0.838,REJECT,ACCEPT,,,sdoe
1,25,na,D,1.5,22,110,2500,0.5,20220517,E,0.0606,0.292,0.25,0.788,REJECT,REJECT,,,sdoe
1,20,na,C,1.2,22,90,800,2,20220208,E,0.0541,0.659,0.09,0.867,REJECT,ACCEPT,,,sdoe
2,52,na,A,1.61,12.5,111,3810,0.469,20240716,e,0.046,0.111,0.908,0.445,reject,accept,,,sobol32
1,12,na,C,1,12,110,800,1,20220126,B,0.0374,0.926,0.12,0.322,REJECT,ACCEPT,,,sdoe
1,17,na,C,1.2,12,130,2500,0,20220208,D,0.0288,0.0739,0.45,0.823,REJECT,REJECT,,,sdoe
2,56,na,A,1.05,6.5,79.5,3130,2.34,20240716,c,0.019,0.005,0.45,8.383,reject,accept,,,sobol32
1,2,na,A,0.5,12,70,1500,0.5,20210914,A,0.0185,0.0419,0.81,0.519,REJECT,ACCEPT,,,sdoe
1,7,na,C,0.8,12,90,4500,5,20220119,A,0.0146,0.0182,0.58,1.32,REJECT,ACCEPT,,,sdoe
2,43,na,A,1.14,21.5,127,1440,3.91,20240709,b,0.003,0.008,0.858,0.478,reject,accept,,,sobol32
2,33,na,A,0.438,16,76.9,1280,0.625,20240705,c,0.001,0.001,0.795,0.827,reject,accept,,,sobol32
2,39,na,A,1.47,17,114,938,2.19,20240709,c,0.001,0.002,0.705,0.633,reject,accept,,,sobol32
1,19,na,A,1.2,20,70,6000,1,20210928,D,0.000945,0.0026,0.67,0.52,REJECT,ACCEPT,,,sdoe
1,13,na,B,1,16,130,1500,2,20211005,D,0.0000728,0.000109,0.78,0.818,REJECT,ACCEPT,,,sdoe
1,16,na,B,1.2,8,110,1500,5,20211006,D,0.0000267,0.0000403,0.86,0.737,REJECT,ACCEPT,,,sdoe
2,41,na,A,0.344,21,92.8,2290,3.44,20240709,c,0,0.001,0.755,0.857,reject,accept,,,sobol32
2,50,na,A,0.484,8.5,90.2,5160,4.22,20240710,f,0,3.973,0.01,0.003,reject,accept,,,sobol32
