round,set,id,trial,donor_ratio,concentration,annealing_t,spinspeed,sol_add_v_perc,date,channel,pce,jsc,voc,ff,status,filter_trial,distance,distance_log,design
2,31,na,A,1.56,20,55.6,2620,4.38,20240705,b,6.713,15.823,0.8,0.518,accept,accept,,,sobol32
1,5,na,C,0.5,22,130,6000,5,20220119,A,6.71,19.9,0.68,0.473,ACCEPT,REJECT,,,sdoe
1,25,na,A,1.5,22,110,2500,0.5,20210929,B,6.67,16.6,0.77,0.496,ACCEPT,ACCEPT,,,sdoe
2,32,na,A,1.19,8,119,3980,3.12,20240709,a,6.656,12.481,0.82,0.635,accept,accept,,,sobol32
1,25,na,A,1.5,22,110,2500,0.5,20210929,A,6.62,17.1,0.78,0.472,ACCEPT,ACCEPT,,,sdoe
2,56,na,A,1.05,6.5,79.5,3130,2.34,20240716,a,6.61,11.768,0.83,0.666,accept,accept,,,sobol32
1,9,na,A,0.8,20,130,800,0.5,20210915,F,6.57,17.5,0.73,0.488,ACCEPT,ACCEPT,,,sdoe
1,15,na,D,1,22,70,4500,0,20220308,A,6.53,11.3,0.84,0.657,ACCEPT,REJECT,,,sdoe
1,13,na,C,1,16,130,1500,2,20220208,A,6.52,17.9,0.78,0.443,ACCEPT,ACCEPT,,,sdoe
1,18,na,C,1.2,16,55,4500,0.5,20220208,D,6.52,12,0.84,0.613,ACCEPT,REJECT,,,sdoe
1,1,na,A,0.5,8,55,800,0,20210914,D,6.5,12.7,0.82,0.595,ACCEPT,ACCEPT,,,sdoe
2,26,na,D,0.25,6,45,600,0,20240703,d,6.468,11.852,0.82,0.65,accept,accept,,,sobol32
1,15,na,D,1,22,70,4500,0,20220308,E,6.45,11.1,0.81,0.685,ACCEPT,REJECT,,,sdoe
2,31,na,A,1.56,20,55.6,2620,4.38,20240705,a,6.438,15.718,0.82,0.488,accept,accept,,,sobol32
2,26,na,D,0.25,6,45,600,0,20240703,c,6.437,13.271,0.8,0.592,accept,accept,,,sobol32
1,12,na,A,1,12,110,800,1,20210915,D,6.43,18.1,0.76,0.444,ACCEPT,ACCEPT,,,sdoe
1,11,na,C,1,8,90,6000,0.5,20220126,E,6.41,11.6,0.83,0.64,ACCEPT,ACCEPT,,,sdoe
1,10,na,B,0.8,22,55,1500,1,20211005,A,6.4,16.7,0.78,0.468,ACCEPT,REJECT,,,sdoe
1,22,na,C,1.5,12,55,6000,2,20220215,D,6.39,12.7,0.85,0.577,ACCEPT,REJECT,,,sdoe
2,27,na,A,1,14,87.5,3300,2.5,20240703,e,6.37,21.938,0.52,0.545,reject,accept,,,sobol32
2,26,na,C,0.25,6,45,600,0,20240703,d,6.352,12.856,0.8,0.603,accept,accept,,,sobol32
1,12,na,A,1,12,110,800,1,20210915,B,6.35,17.2,0.76,0.463,ACCEPT,ACCEPT,,,sdoe
1,10,na,B,0.8,22,55,1500,1,20211005,B,6.3,15.6,0.77,0.498,ACCEPT,REJECT,,,sdoe
2,52,na,A,1.61,12.5,111,3810,0.469,20240716,a,6.251,18.477,0.73,0.456,reject,accept,,,sobol32
1,15,na,D,1,22,70,4500,0,20220308,D,6.24,10.9,0.83,0.66,ACCEPT,REJECT,,,sdoe
2,46,na,A,0.953,7.5,117,2120,0.781,20240710,a,6.235,11.157,0.81,0.673,accept,accept,,,sobol32
1,20,na,B,1.2,22,90,800,2,20211006,F,6.21,15.6,0.76,0.5,ACCEPT,ACCEPT,,,sdoe
1,12,na,A,1,12,110,800,1,20210915,F,6.2,16.7,0.75,0.471,ACCEPT,ACCEPT,,,sdoe
2,26,na,B,0.25,6,45,600,0,20240703,d,6.197,10.976,0.81,0.68,accept,accept,,,sobol32
2,26,na,A,0.25,6,45,600,0,20240703,a,6.152,11.669,0.82,0.628,accept,accept,,,sobol32
1,5,na,C,0.5,22,130,6000,5,20220119,F,6.15,18.6,0.63,0.498,ACCEPT,REJECT,,,sdoe
2,39,na,A,1.47,17,114,938,2.19,20240709,e,6.147,18.669,0.73,0.44,accept,accept,,,sobol32
1,15,na,D,1,22,70,4500,0,20220308,F,6.12,9.9,0.83,0.714,ACCEPT,REJECT,,,sdoe
1,9,na,A,0.8,20,130,800,0.5,20210915,E,6.1,17.5,0.69,0.48,ACCEPT,ACCEPT,,,sdoe
1,9,na,A,0.8,20,130,800,0.5,20210915,D,6.09,17.2,0.72,0.468,ACCEPT,ACCEPT,,,sdoe
1,12,na,A,1,12,110,800,1,20210915,E,6.08,16.9,0.74,0.462,ACCEPT,ACCEPT,,,sdoe
2,39,na,A,1.47,17,114,938,2.19,20240709,b,6.078,17.987,0.73,0.452,accept,accept,,,sobol32
2,26,na,C,0.25,6,45,600,0,20240703,a,6.019,11.384,0.83,0.622,accept,accept,,,sobol32
2,39,na,A,1.47,17,114,938,2.19,20240709,f,6.019,18.589,0.71,0.445,accept,accept,,,sobol32
1,6,na,B,0.8,8,70,2500,2,20210929,C,5.94,10.3,0.78,0.703,ACCEPT,REJECT,,,sdoe
1,5,na,C,0.5,22,130,6000,5,20220119,E,5.92,18.7,0.64,0.47,ACCEPT,REJECT,,,sdoe
2,30,na,A,0.812,12,98.1,5320,1.88,20240703,f,5.879,17.467,0.59,0.557,reject,accept,,,sobol32
1,1,na,B,0.5,8,55,800,0,20210929,A,5.87,10,0.83,0.672,ACCEPT,ACCEPT,,,sdoe
1,13,na,D,1,16,130,1500,2,20220308,A,5.87,17.5,0.77,0.417,ACCEPT,ACCEPT,,,sdoe
1,12,na,A,1,12,110,800,1,20210915,A,5.86,17.2,0.77,0.422,ACCEPT,ACCEPT,,,sdoe
1,16,na,C,1.2,8,110,1500,5,20220208,C,5.85,10.6,0.79,0.662,ACCEPT,REJECT,,,sdoe
1,1,na,D,0.5,8,55,800,0,20220215,F,5.85,10.2,0.82,0.685,REJECT,REJECT,,,sdoe
1,11,na,D,1,8,90,6000,0.5,20220308,A,5.85,10.9,0.82,0.625,ACCEPT,REJECT,,,sdoe
1,1,na,A,0.5,8,55,800,0,20210914,A,5.78,10.7,0.83,0.619,ACCEPT,ACCEPT,,,sdoe
1,5,na,D,0.5,22,130,6000,5,20220222,A,5.78,19.5,0.41,0.708,REJECT,REJECT,,,sdoe
1,25,na,C,1.5,22,110,2500,0.5,20220215,A,5.77,11.2,0.81,0.623,ACCEPT,ACCEPT,,,sdoe
1,17,na,A,1.2,12,130,2500,0,20210928,B,5.74,16.9,0.74,0.44,ACCEPT,REJECT,,,sdoe
